ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,PD,NVA_ALIANZA,MORENA,ES, CAND_IND1,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
10,DURANGO,1,DURANGO,49,141,22311,15484,5930,2467,466,187,433,819,366,849,19,49312,838,50169,89141,0.5628
10,DURANGO,2,DURANGO,67,156,22297,14616,5926,2411,480,146,433,788,400,887,24,48384,694,49102,90060,0.5452
10,DURANGO,3,DURANGO,48,139,21449,15337,5701,2322,614,249,512,789,384,760,37,48117,785,48939,87781,0.5575
10,DURANGO,4,DURANGO,68,157,22026,16558,5854,2821,513,156,423,771,364,777,15,50263,822,51100,90887,0.5622
10,DURANGO,5,DURANGO,101,179,32147,16871,8545,1855,442,141,442,751,425,966,26,62585,959,63570,97361,0.6529
10,DURANGO,6,DURANGO,125,168,13165,16806,3571,1122,392,184,404,2209,825,508,39,39186,1090,40315,67913,0.5936
10,DURANGO,7,SANTIAGO PAPASQUIARO,161,204,13597,21367,3807,511,1035,201,622,602,286,131,18,42159,1305,43482,72690,0.5982
10,DURANGO,8,EL ORO ,201,240,18048,21130,4749,1139,2175,235,2733,1249,237,426,33,52121,1305,53459,85191,0.6275
10,DURANGO,9,MAPIMI,116,164,14134,20282,3898,874,1755,202,2279,2482,301,277,34,46484,1131,47649,73834,0.6454
10,DURANGO,10,GOMEZ PALACIO,73,138,8845,20964,2462,541,369,119,375,854,195,225,21,34949,697,35667,76490,0.4663
10,DURANGO,11,GOMEZ PALACIO,77,156,13335,18686,3509,371,578,67,391,1029,427,431,19,38824,770,39613,88005,0.4501
10,DURANGO,12,GOMEZ PALACIO,56,134,11031,17544,3088,254,513,121,404,985,312,283,17,34535,613,35165,78799,0.4463
10,DURANGO,13,LERDO,52,137,11993,16794,3358,411,488,101,473,1755,622,789,73,36784,916,37773,78124,0.4835
10,DURANGO,14,CUENCAME ,121,175,16490,18907,4473,3584,1408,184,331,2689,476,181,7,48723,1188,49918,78683,0.6344
10,DURANGO,15,NOMBRE DE DIOS,104,167,12779,19400,3709,8804,697,769,636,1259,2580,534,69,51167,2389,53625,80555,0.6657
