ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PRI,PVEM,NA,HUMANISTA,PAN_MC,PRD_PSD,PT_MORENA_ES,CAND_IND1,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
17,MORELOS,1,CUERNAVACA,76,208,4460,2458,1835,1028,18389,6165,43161,2461,79957,109,2324,82390,125451,
17,MORELOS,2,CUERNAVACA,94,222,5113,2359,1747,1042,19379,6947,42447,2461,81495,174,2347,84016,128115,
17,MORELOS,3,TEPOZTLAN,83,213,4284,2624,2505,1238,12279,7624,49139,4723,84416,41,2692,87149,122953,
17,MORELOS,4,YECAPIXTLA,68,186,3881,4186,2465,2177,13373,11635,38919,3379,80015,22,3094,83131,115638,
17,MORELOS,5,TEMIXCO,58,185,5083,2578,1121,765,7233,9975,36746,2669,66170,38,2480,68688,113589,
17,MORELOS,6,JIUTEPEC,56,192,3377,2537,1739,885,12742,8001,45114,2175,76570,63,2151,78784,119643,
17,MORELOS,7,CUAUTLA,84,210,4047,2864,1601,948,11341,8719,42597,3809,75926,70,2655,78651,124696,
17,MORELOS,8,XOCHITEPEC,44,175,6376,5796,1535,755,8486,7043,35392,4004,69387,166,2571,72124,111614,
17,MORELOS,9,PUENTE DE IXTLA,93,202,6178,2174,1505,697,5435,11600,43995,3524,75108,18,2642,77768,113898,
17,MORELOS,10,AYALA,88,213,6264,2248,2312,1641,7293,10800,42437,6650,79645,37,3467,83149,124032,
17,MORELOS,11,JOJUTLA,98,213,4719,2758,2150,1933,7133,9353,41566,6484,76096,35,2831,78962,117882,
17,MORELOS,12,YAUTEPEC,65,202,4105,2392,1387,730,10646,13280,39093,2887,74520,94,2751,77365,121854,
17,MORELOS,0,VOTO EN EL EXTRANJERO,0,0,56,73,75,32,325,56,1137,54,1808,4,31,1843,3487,
