CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,CASILLA,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PSD,HUMANISTA,PAN_MC,PRD_PSD,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,CAND_IND1,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,192,C,1,0,C01,97,31,31,13,55,11,14,153,50,5,5,8,1,12,0,2,4,12,504,0,12,516,734,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,193,B,1,0,B,51,20,17,13,53,9,12,121,36,5,6,4,0,11,2,2,5,22,389,0,9,398,644,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,193,C,1,0,C01,53,16,27,14,43,14,11,112,46,4,7,4,1,15,0,0,0,22,389,0,6,395,643,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,193,C,4,0,C04,65,14,21,15,37,9,12,134,53,6,1,0,3,9,1,1,7,19,407,1,10,418,643,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,193,C,2,0,C02,54,21,19,18,47,16,6,132,39,5,10,3,1,5,2,2,6,18,404,0,13,417,643,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,193,C,3,0,C03,60,21,30,17,56,14,9,112,43,5,4,5,3,11,0,1,3,12,406,1,19,426,643,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,194,B,1,0,B,56,19,25,18,37,14,8,123,42,4,6,0,0,11,1,0,3,9,376,0,11,387,636,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,194,C,1,0,C01,49,28,27,17,45,8,12,109,42,8,20,1,1,8,2,1,6,23,407,1,12,420,636,Grupo de recuento,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,194,C,4,0,C04,59,23,17,23,42,5,16,163,38,3,2,2,0,15,1,3,5,0,417,18,18,453,636,Grupo de recuento,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,194,C,2,0,C02,57,15,19,12,34,17,9,128,52,4,2,4,0,10,0,4,5,21,393,0,21,414,636,Acta casilla,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,194,C,3,0,C03,59,17,25,28,48,8,6,104,52,3,5,3,0,7,1,0,7,18,391,0,9,400,636,Grupo de recuento,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,194,C,5,0,C05,53,19,25,18,37,1,8,120,41,4,6,16,0,11,1,1,6,9,376,0,10,386,635,Grupo de recuento,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,195,B,1,0,B,90,23,32,19,33,11,6,115,38,7,6,4,5,9,4,2,1,11,416,0,10,426,647,Grupo de recuento,,,
