section,uniqueid,year,incumbent_party_Horacio
117,1001,2004,PAN
165,1001,2004,PAN
205,1001,2004,PAN
232,1001,2004,PAN
230,1001,2004,PAN
74,1001,2004,PAN
127,1001,2004,PAN
281,1001,2004,PAN
28,1001,2004,PAN
312,1001,2004,PAN
3,1001,2004,PAN
140,1001,2004,PAN
327,1001,2004,PAN
283,1001,2004,PAN
186,1001,2004,PAN
256,1001,2004,PAN
282,1001,2004,PAN
131,1001,2004,PAN
190,1001,2004,PAN
307,1001,2004,PAN
58,1001,2004,PAN
113,1001,2004,PAN
13,1001,2004,PAN
267,1001,2004,PAN
226,1001,2004,PAN
294,1001,2004,PAN
114,1001,2004,PAN
335,1001,2004,PAN
125,1001,2004,PAN
214,1001,2004,PAN
228,1001,2004,PAN
227,1001,2004,PAN
8,1001,2004,PAN
134,1001,2004,PAN
126,1001,2004,PAN
193,1001,2004,PAN
10,1001,2004,PAN
191,1001,2004,PAN
184,1001,2004,PAN
225,1001,2004,PAN
268,1001,2004,PAN
326,1001,2004,PAN
89,1001,2004,PAN
151,1001,2004,PAN
302,1001,2004,PAN
244,1001,2004,PAN
166,1001,2004,NA
2,1001,2004,PAN
303,1001,2004,PAN
66,1001,2004,PAN
64,1001,2004,PAN
269,1001,2004,PAN
23,1001,2004,PAN
79,1001,2004,PAN
90,1001,2004,PAN
301,1001,2004,PAN
249,1001,2004,PAN
62,1001,2004,PAN
313,1001,2004,PAN
132,1001,2004,PAN
84,1001,2004,PAN
173,1001,2004,PAN
67,1001,2004,PAN
150,1001,2004,PAN
172,1001,2004,PAN
253,1001,2004,PAN
69,1001,2004,PAN
42,1001,2004,PAN
224,1001,2004,PAN
236,1001,2004,PAN
265,1001,2004,PAN
41,1001,2004,PAN
348,1002,2004,PAN
351,1002,2004,PAN
349,1002,2004,PAN
347,1002,2004,PAN
340,1002,2004,PAN
339,1002,2004,PAN
343,1002,2004,PAN
346,1002,2004,PAN
354,1002,2004,PAN
344,1002,2004,PAN
353,1002,2004,PAN
338,1002,2004,PAN
350,1002,2004,PAN
345,1002,2004,PAN
352,1002,2004,PAN
342,1002,2004,PAN
341,1002,2004,PAN
377,1003,2004,PAN
364,1003,2004,PAN
367,1003,2004,PAN
359,1003,2004,PAN
378,1003,2004,PAN
369,1003,2004,PAN
366,1003,2004,PAN
382,1003,2004,PAN
365,1003,2004,PAN
380,1003,2004,PAN
361,1003,2004,PAN
355,1003,2004,PAN
381,1003,2004,PAN
376,1003,2004,PAN
383,1003,2004,PAN
386,1003,2004,PAN
357,1003,2004,PAN
371,1003,2004,PAN
379,1003,2004,PAN
356,1003,2004,PAN
375,1003,2004,PAN
363,1003,2004,PAN
372,1003,2004,PAN
368,1003,2004,PAN
360,1003,2004,PAN
358,1003,2004,PAN
385,1003,2004,PAN
362,1003,2004,PAN
370,1003,2004,PAN
374,1003,2004,PAN
373,1003,2004,PAN
384,1003,2004,PAN
389,1004,2004,PAN
391,1004,2004,PAN
387,1004,2004,PAN
388,1004,2004,PAN
390,1004,2004,PAN
404,1005,2004,NA
403,1005,2004,PAN
413,1005,2004,PAN
398,1005,2004,PAN
411,1005,2004,PAN
408,1005,2004,PAN
400,1005,2004,PAN
402,1005,2004,PAN
410,1005,2004,PAN
399,1005,2004,PAN
412,1005,2004,PAN
409,1005,2004,PAN
392,1005,2004,PAN
414,1005,2004,PAN
395,1005,2004,PAN
396,1005,2004,PAN
407,1005,2004,PAN
393,1005,2004,PAN
401,1005,2004,PAN
405,1005,2004,PAN
397,1005,2004,PAN
406,1005,2004,PAN
394,1005,2004,PAN
419,1006,2004,PAN
425,1006,2004,PAN
422,1006,2004,PAN
424,1006,2004,PAN
418,1006,2004,PAN
417,1006,2004,PAN
426,1006,2004,PAN
416,1006,2004,PAN
420,1006,2004,PAN
423,1006,2004,PAN
429,1006,2004,PAN
430,1006,2004,PAN
415,1006,2004,PAN
428,1006,2004,PAN
421,1006,2004,PAN
427,1006,2004,PAN
442,1007,2004,PRI_PT_PVEM
432,1007,2004,PRI_PT_PVEM
443,1007,2004,PRI_PT_PVEM
447,1007,2004,PRI_PT_PVEM
449,1007,2004,PRI_PT_PVEM
436,1007,2004,PRI_PT_PVEM
440,1007,2004,PRI_PT_PVEM
448,1007,2004,PRI_PT_PVEM
445,1007,2004,PRI_PT_PVEM
439,1007,2004,PRI_PT_PVEM
446,1007,2004,PRI_PT_PVEM
433,1007,2004,PRI_PT_PVEM
451,1007,2004,PRI_PT_PVEM
441,1007,2004,PRI_PT_PVEM
431,1007,2004,PRI_PT_PVEM
435,1007,2004,PRI_PT_PVEM
438,1007,2004,PRI_PT_PVEM
434,1007,2004,PRI_PT_PVEM
444,1007,2004,PRI_PT_PVEM
437,1007,2004,PRI_PT_PVEM
450,1007,2004,PRI_PT_PVEM
459,1008,2004,PAN
452,1008,2004,PAN
458,1008,2004,PAN
455,1008,2004,PAN
456,1008,2004,PAN
454,1008,2004,PAN
453,1008,2004,PAN
457,1008,2004,PAN
464,1009,2004,PAN
466,1009,2004,PAN
467,1009,2004,PAN
462,1009,2004,PAN
465,1009,2004,PAN
468,1009,2004,PAN
469,1009,2004,PAN
463,1009,2004,PAN
461,1009,2004,PAN
460,1009,2004,PAN
484,1010,2004,PAN
485,1010,2004,PAN
482,1010,2004,PAN
479,1010,2004,PAN
480,1010,2004,PAN
486,1010,2004,PAN
481,1010,2004,PAN
483,1010,2004,PAN
473,1011,2004,PAN
472,1011,2004,PAN
478,1011,2004,PAN
475,1011,2004,PAN
474,1011,2004,PAN
471,1011,2004,PAN
477,1011,2004,PAN
470,1011,2004,PAN
476,1011,2004,PAN
44,1001,2007,PRI
299,1001,2007,PRI
117,1001,2007,PRI
184,1001,2007,PRI
149,1001,2007,PRI
82,1001,2007,PRI
554,1001,2007,PRI
298,1001,2007,PRI
64,1001,2007,PRI
89,1001,2007,PRI
217,1001,2007,PRI
2,1001,2007,PRI
293,1001,2007,PRI
555,1001,2007,PRI
517,1001,2007,PRI
39,1001,2007,PRI
291,1001,2007,PRI
556,1001,2007,PRI
559,1001,2007,PRI
90,1001,2007,PRI
546,1001,2007,PRI
284,1001,2007,PRI
565,1001,2007,PRI
229,1001,2007,PRI
289,1001,2007,PRI
567,1001,2007,PRI
572,1001,2007,PRI
270,1001,2007,PRI
268,1001,2007,PRI
156,1001,2007,PRI
570,1001,2007,PRI
590,1001,2007,PRI
72,1001,2007,PRI
550,1001,2007,PRI
500,1001,2007,PRI
235,1001,2007,PRI
311,1001,2007,PRI
313,1001,2007,PRI
138,1001,2007,PRI
318,1001,2007,PRI
320,1001,2007,PRI
547,1001,2007,PRI
326,1001,2007,PRI
524,1001,2007,PRI
332,1001,2007,PRI
334,1001,2007,PRI
36,1001,2007,PRI
43,1001,2007,PRI
584,1001,2007,PRI
257,1001,2007,PRI
12,1001,2007,PRI
143,1001,2007,PRI
147,1001,2007,PRI
50,1001,2007,PRI
494,1001,2007,PRI
498,1001,2007,PRI
544,1001,2007,PRI
499,1001,2007,PRI
176,1001,2007,PRI
541,1001,2007,PRI
507,1001,2007,PRI
321,1001,2007,PRI
198,1001,2007,PRI
588,1001,2007,PRI
512,1001,2007,PRI
66,1001,2007,PRI
274,1001,2007,PRI
111,1001,2007,PRI
523,1001,2007,PRI
238,1001,2007,PRI
37,1001,2007,PRI
538,1001,2007,PRI
534,1001,2007,PRI
54,1001,2007,PRI
94,1001,2007,PRI
527,1001,2007,PRI
161,1001,2007,PRI
5,1001,2007,PRI
256,1001,2007,PRI
219,1001,2007,PRI
269,1001,2007,PRI
324,1001,2007,PRI
329,1001,2007,PRI
254,1001,2007,PRI
248,1001,2007,PRI
569,1001,2007,PRI
281,1001,2007,PRI
119,1001,2007,PRI
220,1001,2007,PRI
25,1001,2007,PRI
125,1001,2007,PRI
1,1001,2007,PRI
150,1001,2007,PRI
97,1001,2007,PRI
16,1001,2007,PRI
59,1001,2007,PRI
516,1001,2007,PRI
144,1001,2007,PRI
520,1001,2007,PRI
114,1001,2007,PRI
165,1001,2007,PRI
17,1001,2007,PRI
200,1001,2007,PRI
230,1001,2007,PRI
169,1001,2007,PRI
337,1001,2007,PRI
172,1001,2007,PRI
88,1001,2007,PRI
177,1001,2007,PRI
164,1001,2007,PRI
316,1001,2007,PRI
78,1001,2007,PRI
297,1001,2007,PRI
134,1001,2007,PRI
255,1001,2007,PRI
581,1001,2007,PRI
30,1001,2007,PRI
14,1001,2007,PRI
131,1001,2007,PRI
197,1001,2007,PRI
252,1001,2007,PRI
136,1001,2007,PRI
31,1001,2007,PRI
122,1001,2007,PRI
250,1001,2007,PRI
23,1001,2007,PRI
277,1001,2007,PRI
108,1001,2007,PRI
222,1001,2007,PRI
115,1001,2007,PRI
561,1001,2007,PRI
107,1001,2007,PRI
508,1001,2007,PRI
201,1001,2007,PRI
179,1001,2007,PRI
53,1001,2007,PRI
586,1001,2007,PRI
296,1001,2007,PRI
307,1001,2007,PRI
55,1001,2007,PRI
234,1001,2007,PRI
193,1001,2007,PRI
225,1001,2007,PRI
213,1001,2007,PRI
542,1001,2007,PRI
331,1001,2007,PRI
47,1001,2007,PRI
208,1001,2007,PRI
210,1001,2007,PRI
207,1001,2007,PRI
585,1001,2007,PRI
35,1001,2007,PRI
282,1001,2007,PRI
245,1001,2007,PRI
6,1001,2007,PRI
121,1001,2007,PRI
551,1001,2007,PRI
103,1001,2007,PRI
180,1001,2007,PRI
215,1001,2007,PRI
209,1001,2007,PRI
195,1001,2007,PRI
65,1001,2007,PRI
51,1001,2007,PRI
513,1001,2007,PRI
493,1001,2007,PRI
204,1001,2007,PRI
58,1001,2007,PRI
552,1001,2007,PRI
549,1001,2007,PRI
241,1001,2007,PRI
28,1001,2007,PRI
328,1001,2007,PRI
308,1001,2007,PRI
24,1001,2007,PRI
86,1001,2007,PRI
288,1001,2007,PRI
70,1001,2007,PRI
63,1001,2007,PRI
285,1001,2007,PRI
564,1001,2007,PRI
170,1001,2007,PRI
57,1001,2007,PRI
199,1001,2007,PRI
182,1001,2007,PRI
45,1001,2007,PRI
310,1001,2007,PRI
42,1001,2007,PRI
540,1001,2007,PRI
9,1001,2007,PRI
242,1001,2007,PRI
560,1001,2007,PRI
501,1001,2007,PRI
49,1001,2007,PRI
40,1001,2007,PRI
548,1001,2007,PRI
305,1001,2007,PRI
575,1001,2007,PRI
228,1001,2007,PRI
73,1001,2007,PRI
221,1001,2007,PRI
571,1001,2007,PRI
