ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,CASILLA,PAN,PRI,PRD,PT,PVEM,MC,PCPP,PSI,MORENA,ES,PAN_PRD_MC_PCPP_PSI,PAN_PRD_MC_PCPP,PAN_PRD_MC_PSI,PAN_PRD_PCPP_PSI,PAN_MC_PCPP_PSI,PRD_MC_PCPP_PSI,PAN_PRD_MC,PAN_PRD_PCPP,PAN_PRD_PSI,PAN_MC_PCPP,PAN_MC_PSI,PAN_PCPP_PSI,PRD_MC_PCPP,PRD_MC_PSI,PRD_PCPP_PSI,MC_PCPP_PSI,PAN_PRD,PAN_MC,PAN_PCPP,PAN_PSI,PRD_MC,PRD_PCPP,PRD_PSI,MC_PCPP,MC_PSI,PCPP_PSI,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
21,PUEBLA,1,XICOTEPEC DE JUAREZ,65,FRANCISCO Z. MENA,535,B,1,0,B,147,72,5,21,10,3,4,2,145,14,4,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,1,5,3,0,2,445,0,12,457,585,Grupo de recuento,,,http://www.ieepuebla.org.mx/2018/computos/gob/tribunal/dtto_01.pdf
21,PUEBLA,1,XICOTEPEC DE JUAREZ,65,FRANCISCO Z. MENA,535,C,1,0,C01,142,61,7,23,4,9,5,3,132,6,3,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,10,3,2,3,421,0,14,435,585,Grupo de recuento,,,http://www.ieepuebla.org.mx/2018/computos/gob/tribunal/dtto_01.pdf
21,PUEBLA,1,XICOTEPEC DE JUAREZ,65,FRANCISCO Z. MENA,535,C,2,0,C02,145,66,4,19,13,3,0,0,150,4,3,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,6,3,1,3,431,0,9,440,585,Grupo de recuento,,,http://www.ieepuebla.org.mx/2018/computos/gob/tribunal/dtto_01.pdf
21,PUEBLA,1,XICOTEPEC DE JUAREZ,65,FRANCISCO Z. MENA,535,C,3,0,C03,153,69,5,19,6,3,3,0,131,8,3,0,0,1,1,0,2,0,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,14,2,2,6,433,0,18,451,584,Grupo de recuento,,,http://www.ieepuebla.org.mx/2018/computos/gob/tribunal/dtto_01.pdf
21,PUEBLA,1,XICOTEPEC DE JUAREZ,65,FRANCISCO Z. MENA,536,B,1,0,B,142,68,5,18,9,4,3,0,154,5,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,4,426,0,15,441,589,Grupo de recuento,,,http://www.ieepuebla.org.mx/2018/computos/gob/tribunal/dtto_01.pdf
21,PUEBLA,1,XICOTEPEC DE JUAREZ,65,FRANCISCO Z. MENA,536,C,1,0,C01,151,37,10,20,14,6,3,2,148,7,3,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,9,2,0,1,425,0,16,441,589,Grupo de recuento,Anulada,TEEP-I-031/2018 Y A CULUMADOS,http://www.ieepuebla.org.mx/2018/computos/TEEP-I-031-2018-AC.pdf
21,PUEBLA,1,XICOTEPEC DE JUAREZ,65,FRANCISCO Z. MENA,536,C,2,0,C02,160,42,4,23,7,5,8,4,161,8,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,4,2,0,6,445,0,26,471,588,Grupo de recuento,,,http://www.ieepuebla.org.mx/2018/computos/gob/tribunal/dtto_01.pdf
21,PUEBLA,1,XICOTEPEC DE JUAREZ,65,FRANCISCO Z. MENA,537,B,1,0,B,89,34,41,18,8,7,2,0,81,6,1,1,1,0,0,1,3,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,3,0,0,1,301,0,15,316,397,Grupo de recuento,,,http://www.ieepuebla.org.mx/2018/computos/gob/tribunal/dtto_01.pdf
21,PUEBLA,1,XICOTEPEC DE JUAREZ,65,FRANCISCO Z. MENA,537,C,1,0,C01,79,84,25,11,3,3,3,0,78,5,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,296,0,16,312,396,Grupo de recuento,,,http://www.ieepuebla.org.mx/2018/computos/gob/tribunal/dtto_01.pdf
21,PUEBLA,1,XICOTEPEC DE JUAREZ,65,FRANCISCO Z. MENA,537,E,1,0,E01,77,46,34,52,5,7,5,1,221,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,9,6,2,2,482,0,15,497,658,Grupo de recuento,,,http://www.ieepuebla.org.mx/2018/computos/gob/tribunal/dtto_01.pdf
