ID_ESTADO,NOMBRE_ESTADO,DISTRITOS_LOCALES,MUNICIPIOS,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,PCPP,PSI,MORENA,ES,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,OBSERVACIONES,RUTA_ACTA
21,PUEBLA,26,217,2652,7547,772033,536652,80379,143313,144515,95542,88888,58988,782122,64485,2766917,1493,119201,2887611,4500580,TEEP-I-031/2018 Y A CULUMADOS,http://www.ieepuebla.org.mx/2018/computos/gob/tribunal/dtto_01.pdf
21,PUEBLA,0,0,0,0,647,274,66,193,132,51,80,9,3284,137,4873,16,42,4931,10811,VOTO EN EL EXTRANJERO,https://www.ieepuebla.org.mx/2018/computos/gob/tribunal/VOTO_EXTRANJERO.jpg
