ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,CASILLA,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
28,TAMAULIPAS,13,SAN FERNANDO,1,ABASOLO,1,B,1,0,B,182,175,0,0,1,0,0,18,3,0,0,0,0,4,0,1,0,,,,,,,,,,,,,,,384,0,1,385,471,Acta Casilla,,,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Casillas/ABASOLO/0001B1.pdf
28,TAMAULIPAS,13,SAN FERNANDO,1,ABASOLO,2,B,1,0,B,168,199,3,0,3,1,0,5,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,379,0,7,386,505,Acta Casilla,,,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Casillas/ABASOLO/0002B1.pdf
28,TAMAULIPAS,13,SAN FERNANDO,1,ABASOLO,2,C,1,0,C01,169,159,0,0,2,2,0,26,2,0,0,0,0,3,1,0,0,,,,,,,,,,,,,,,364,0,14,378,505,Acta Casilla,,,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Casillas/ABASOLO/0002C1.pdf
28,TAMAULIPAS,13,SAN FERNANDO,1,ABASOLO,3,B,1,0,B,220,162,2,0,4,0,0,26,1,0,0,0,0,2,1,1,0,,,,,,,,,,,,,,,419,0,17,436,583,Acta Casilla,,,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Casillas/ABASOLO/0003B1.pdf
28,TAMAULIPAS,13,SAN FERNANDO,1,ABASOLO,4,B,1,0,B,168,157,0,1,1,1,1,15,0,0,0,1,0,3,2,0,0,,,,,,,,,,,,,,,350,0,5,355,451,Acta Casilla,,,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Casillas/ABASOLO/0004B1.pdf
28,TAMAULIPAS,13,SAN FERNANDO,1,ABASOLO,4,C,1,0,C01,154,163,1,1,1,0,0,24,1,0,0,0,0,1,2,0,0,,,,,,,,,,,,,,,348,0,6,354,451,Acta Casilla,,,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Casillas/ABASOLO/0004C1.pdf
28,TAMAULIPAS,13,SAN FERNANDO,1,ABASOLO,5,B,1,0,B,272,213,0,0,4,2,0,26,7,1,0,1,0,3,2,0,0,,,,,,,,,,,,,,,531,0,26,557,724,Acta Casilla,,,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Casillas/ABASOLO/0005B1.pdf
28,TAMAULIPAS,13,SAN FERNANDO,1,ABASOLO,6,B,1,0,B,301,242,0,0,2,0,0,13,1,0,0,0,0,0,2,2,0,,,,,,,,,,,,,,,563,0,11,574,709,Acta Casilla,,,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Casillas/ABASOLO/0006B1.pdf
28,TAMAULIPAS,13,SAN FERNANDO,1,ABASOLO,8,B,1,0,B,207,280,0,0,0,0,0,12,0,0,0,0,0,3,1,0,0,,,,,,,,,,,,,,,503,0,20,523,723,Acta Casilla,,,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Casillas/ABASOLO/0008B1.pdf
28,TAMAULIPAS,13,SAN FERNANDO,1,ABASOLO,9,B,1,0,B,190,266,2,0,1,0,0,21,2,3,0,0,1,2,3,2,0,,,,,,,,,,,,,,,493,0,25,518,720,Acta Casilla,,,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Casillas/ABASOLO/0009B1.pdf
28,TAMAULIPAS,13,SAN FERNANDO,1,ABASOLO,10,B,1,0,B,122,167,2,0,0,0,0,36,1,0,1,0,0,2,1,0,0,,,,,,,,,,,,,,,332,0,14,346,450,Acta Casilla,,,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Casillas/ABASOLO/0010B1.pdf
28,TAMAULIPAS,13,SAN FERNANDO,1,ABASOLO,10,C,1,0,C01,117,171,5,,,,,36,1,1,,,1,9,,,,,,,,,,,,,,,,,,341,0,19,360,450,Acta Casilla,,,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Casillas/ABASOLO/0010C1.pdf
28,TAMAULIPAS,13,SAN FERNANDO,1,ABASOLO,10,E,1,0,E01,73,121,3,0,1,1,0,18,2,0,0,0,0,3,0,0,0,,,,,,,,,,,,,,,222,0,10,232,293,Acta Casilla,,,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Casillas/ABASOLO/0010E1.pdf
28,TAMAULIPAS,13,SAN FERNANDO,1,ABASOLO,11,B,1,0,B,212,238,1,0,0,1,0,22,4,0,0,0,0,1,2,0,0,,,,,,,,,,,,,,,481,0,12,493,615,Acta Casilla,,,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Casillas/ABASOLO/0011B1.pdf
28,TAMAULIPAS,13,SAN FERNANDO,1,ABASOLO,12,B,1,0,B,44,231,3,0,1,0,0,4,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,283,0,13,296,359,Acta Casilla,,,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Casillas/ABASOLO/0012B1.pdf
28,TAMAULIPAS,13,SAN FERNANDO,1,ABASOLO,12,E,1,0,E01,86,89,0,0,0,0,0,11,0,1,0,0,1,1,1,1,0,,,,,,,,,,,,,,,191,0,5,196,246,Acta Casilla,,,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Casillas/ABASOLO/0012E1.pdf
