ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
13,HIDALGO,1,ZIMAPAN,179,246,6921,15976,7650,1503,7689,711,1559,21773,778,64560,21,3827,68408,110255,http://ieehidalgo.org.mx/computos2018/ACD1_1.jpg
13,HIDALGO,2,ZACUALTIPAN DE ANGELES,169,250,2918,20568,3841,1858,3627,1108,8585,23747,5524,71776,45,5924,77745,116634,http://ieehidalgo.org.mx/computos2018/ACD1_2.jpg
13,HIDALGO,3,SAN FELIPE ORIZATLAN,104,205,13716,18443,5431,899,1814,1016,2413,23118,3389,70239,46,5089,75374,103935,http://ieehidalgo.org.mx/computos2018/ACD1_3.jpg
13,HIDALGO,4,HUEJUTLA DE REYES,90,200,1763,14333,1190,647,1699,822,5825,27536,16612,70427,60,5583,76070,111892,http://ieehidalgo.org.mx/computos2018/ACD1_4.jpg
13,HIDALGO,5,IXMIQUILPAN,131,231,4949,13747,1494,1121,6179,1009,4157,40798,974,74428,54,3163,77645,115732,http://ieehidalgo.org.mx/computos2018/ACD1_5.jpg
13,HIDALGO,6,HUICHAPAN,113,223,17038,14818,1526,5781,3197,2084,2145,28558,1217,76364,25,3728,80117,126207,http://ieehidalgo.org.mx/computos2018/ACD1_6.jpg
13,HIDALGO,7,MIXQUIAHUALA DE JUAREZ,86,201,3039,13227,1770,4840,6435,1129,6609,39562,563,77174,15,3172,80361,115907,http://ieehidalgo.org.mx/computos2018/ACD1_7.jpg
13,HIDALGO,8,ACTOPAN,115,216,5608,20851,2192,1479,1493,934,2585,36578,1760,73480,30,3493,77003,118528,http://ieehidalgo.org.mx/computos2018/ACD1_8.jpg
13,HIDALGO,9,METEPEC,121,214,5953,13399,9683,1176,1176,869,8279,22229,892,63656,81,4155,67892,105679,http://ieehidalgo.org.mx/computos2018/ACD1_9.jpg
13,HIDALGO,10,APAN,91,215,7642,15805,1435,2283,3755,1122,5056,32764,1685,71547,56,4035,75638,124865,http://ieehidalgo.org.mx/computos2018/ACD1_11.jpg
13,HIDALGO,11,TULANCINGO DE BRAVO,54,196,7521,13290,889,1821,2458,2663,2871,35173,1688,68374,61,3212,71647,123569,http://ieehidalgo.org.mx/computos2018/ACD1_12.jpg
13,HIDALGO,12,PACHUCA DE SOTO,96,193,11116,15253,1032,1851,1897,2307,2353,35355,2002,73166,56,3396,76618,111103,http://ieehidalgo.org.mx/computos2018/ACD1_13.jpg
13,HIDALGO,13,PACHUCA DE SOTO,33,178,9896,13977,1224,1739,1870,1565,2305,40040,1715,74331,58,2702,77091,115329,http://ieehidalgo.org.mx/computos2018/ACD1_14.jpg
13,HIDALGO,14,TULA DE ALLENDE,73,198,8867,13059,1585,1624,1910,1208,4366,41174,2286,76079,53,3129,79261,118551,http://ieehidalgo.org.mx/computos2018/ACD1_15.jpg
13,HIDALGO,15,TEPEJI DEL RIO DE OCAMPO,68,198,6622,10517,3137,2657,3057,1353,5307,38905,1828,73383,54,3377,76814,121996,http://ieehidalgo.org.mx/computos2018/ACD1_16.jpg
13,HIDALGO,16,TIZAYUCA,63,206,7930,14389,1637,2210,2105,1221,5216,37288,2634,74630,57,3824,78511,129104,http://ieehidalgo.org.mx/computos2018/ACD1_17.jpg
13,HIDALGO,17,VILLAS DEL ALAMO,87,210,13501,12326,1086,1848,2070,1391,3650,43325,1727,80924,85,3018,84027,127555,http://ieehidalgo.org.mx/computos2018/ACD1_18.jpg
13,HIDALGO,18,TEPEAPULCO,85,207,5846,17609,1198,2323,2122,1226,5442,38831,2725,77322,28,3785,81135,121640,http://ieehidalgo.org.mx/computos2018/ACD1_19.jpg
