CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,ES,C_COMUN_PRI_PVEM_NVA_ALIANZA,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TEPJF,OBSERVACIONES,RUTA_ACTA
2,28,TAMAULIPAS,01,NUEVO LAREDO,27,NUEVO LAREDO,0749,B,107,93,2,2,1,4,3,4,4,,0,220,7,227,570,ACTA CASILLA,,,http://ietam.org.mx/portal/documentos/PE2015/Resultados/Actas_Casilla/Diputados_RP/DTO 01/D_0749B.pdf
2,28,TAMAULIPAS,01,NUEVO LAREDO,27,NUEVO LAREDO,0749,C01,144,65,1,0,1,4,3,0,2,,0,220,2,332,570,ACTA CASILLA,,,http://ietam.org.mx/portal/documentos/PE2015/Resultados/Actas_Casilla/Diputados_RP/DTO 01/D_0749C1.pdf
2,28,TAMAULIPAS,01,NUEVO LAREDO,27,NUEVO LAREDO,0749,C02,132,72,2,5,0,3,4,3,2,,3,223,10,233,569,ACTA CASILLA,,,http://ietam.org.mx/portal/documentos/PE2015/Resultados/Actas_Casilla/Diputados_RP/DTO 01/D_0749C2.pdf
2,28,TAMAULIPAS,01,NUEVO LAREDO,27,NUEVO LAREDO,0749,E01,165,82,5,3,0,9,4,8,6,,0,282,3,285,731,ACTA CASILLA,,,http://ietam.org.mx/portal/documentos/PE2015/Resultados/Actas_Casilla/Diputados_RP/DTO 01/D_0749E1.pdf
2,28,TAMAULIPAS,01,NUEVO LAREDO,27,NUEVO LAREDO,0749,E01C01,184,88,10,4,0,14,8,11,5,,1,324,7,332,731,ACTA CASILLA,,,http://ietam.org.mx/portal/documentos/PE2015/Resultados/Actas_Casilla/Diputados_RP/DTO 01/D_0749E1 C1.pdf
2,28,TAMAULIPAS,01,NUEVO LAREDO,27,NUEVO LAREDO,0749,E01C02,150,99,7,3,4,6,5,7,3,,0,284,7,291,731,ACTA CASILLA,,,http://ietam.org.mx/portal/documentos/PE2015/Resultados/Actas_Casilla/Diputados_RP/DTO 01/D_0749E1 C2.pdf
2,28,TAMAULIPAS,01,NUEVO LAREDO,27,NUEVO LAREDO,0749,E01C03,157,93,5,3,1,9,7,8,11,,0,294,4,298,731,ACTA CASILLA,,,http://ietam.org.mx/portal/documentos/PE2015/Resultados/Actas_Casilla/Diputados_RP/DTO 01/D_0749E1 C3.pdf
2,28,TAMAULIPAS,01,NUEVO LAREDO,27,NUEVO LAREDO,0749,E01C04,176,87,8,6,1,8,3,1,4,,0,294,9,305,731,ACTA CASILLA,,,http://ietam.org.mx/portal/documentos/PE2015/Resultados/Actas_Casilla/Diputados_RP/DTO 01/D_0749E1 C4.pdf
2,28,TAMAULIPAS,01,NUEVO LAREDO,27,NUEVO LAREDO,0749,E01C05,158,90,1,7,0,7,7,3,5,,0,278,4,282,731,ACTA CASILLA,,,http://ietam.org.mx/portal/documentos/PE2015/Resultados/Actas_Casilla/Diputados_RP/DTO 01/D_0749E1 C5.pdf
2,28,TAMAULIPAS,01,NUEVO LAREDO,27,NUEVO LAREDO,0749,E01C06,163,101,5,3,1,6,6,6,6,,0,297,4,301,730,ACTA CASILLA,,,http://ietam.org.mx/portal/documentos/PE2015/Resultados/Actas_Casilla/Diputados_RP/DTO 01/D_0749E1 C6.pdf
2,28,TAMAULIPAS,01,NUEVO LAREDO,27,NUEVO LAREDO,0749,E01C07,163,106,3,5,2,6,7,1,0,,0,293,5,298,730,ACTA CASILLA,,,http://ietam.org.mx/portal/documentos/PE2015/Resultados/Actas_Casilla/Diputados_RP/DTO 01/D_0749E1 C7.pdf
2,28,TAMAULIPAS,01,NUEVO LAREDO,27,NUEVO LAREDO,0749,E01C08,190,97,6,0,5,7,3,2,6,,0,316,2,318,730,ACTA CASILLA,,,http://ietam.org.mx/portal/documentos/PE2015/Resultados/Actas_Casilla/Diputados_RP/DTO 01/D_0749E1 C8.pdf
