ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PRI,PVEM,PT,MC,NA,MORENA,ES,PAN_PRD,PRI_PVEM_NA_ES,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
13,HIDALGO,1,ZIMAPAN,179,246,,,7689,711,,21773,,14571,19816,64560,21,3827,68408,110255,http://ieehidalgo.org.mx/computos2018/ACD1_1.jpg
13,HIDALGO,2,ZACUALTIPAN DE ANGELES,169,250,20568,1858,3627,1108,8585,23747,5524,6759,,71776,45,5924,77745,116634,http://ieehidalgo.org.mx/computos2018/ACD1_2.jpg
13,HIDALGO,3,SAN FELIPE ORIZATLAN,104,205,,,1814,1016,,23118,,19147,25144,70239,46,5089,75374,103935,http://ieehidalgo.org.mx/computos2018/ACD1_3.jpg
13,HIDALGO,4,HUEJUTLA DE REYES,90,200,14333,647,1699,822,5825,27536,16612,2953,,70427,60,5583,76070,111892,http://ieehidalgo.org.mx/computos2018/ACD1_4.jpg
13,HIDALGO,5,IXMIQUILPAN,131,231,,,6179,1009,,40798,,6443,19999,74428,54,3163,77645,115732,http://ieehidalgo.org.mx/computos2018/ACD1_5.jpg
13,HIDALGO,6,HUICHAPAN,113,223,,,3197,2084,,28558,,18564,23961,76364,25,3728,80117,126207,http://ieehidalgo.org.mx/computos2018/ACD1_6.jpg
13,HIDALGO,7,MIXQUIAHUALA DE JUAREZ,86,201,13227,4840,6435,1129,6609,39562,563,4809,,77174,15,3172,80361,115907,http://ieehidalgo.org.mx/computos2018/ACD1_7.jpg
13,HIDALGO,8,ACTOPAN,115,216,20851,1479,1493,934,2585,36578,1760,7800,,73480,30,3493,77003,118528,http://ieehidalgo.org.mx/computos2018/ACD1_8.jpg
13,HIDALGO,9,METEPEC,121,214,13399,1176,1176,869,8279,22229,892,15636,,63656,81,4155,67892,105679,http://ieehidalgo.org.mx/computos2018/ACD1_9.jpg
13,HIDALGO,10,APAN,91,215,15805,2283,3755,1122,5056,32764,1685,9077,,71547,56,4035,75638,124865,http://ieehidalgo.org.mx/computos2018/ACD1_11.jpg
13,HIDALGO,11,TULANCINGO DE BRAVO,54,196,13290,1821,2458,2663,2871,35173,1688,8410,,68374,61,3212,71647,123569,http://ieehidalgo.org.mx/computos2018/ACD1_12.jpg
13,HIDALGO,12,PACHUCA DE SOTO,96,193,15253,1851,1897,2307,2353,35355,2002,12148,,73166,56,3396,76618,111103,http://ieehidalgo.org.mx/computos2018/ACD1_13.jpg
13,HIDALGO,13,PACHUCA DE SOTO,33,178,,,1870,1565,,40040,,11120,19736,74331,58,2702,77091,115329,http://ieehidalgo.org.mx/computos2018/ACD1_14.jpg
13,HIDALGO,14,TULA DE ALLENDE,73,198,13059,1624,1910,1208,4366,41174,2286,10452,,76079,53,3129,79261,118551,http://ieehidalgo.org.mx/computos2018/ACD1_15.jpg
13,HIDALGO,15,TEPEJI DEL RIO DE OCAMPO,68,198,10517,2657,3057,1353,5307,38905,1828,9759,,73383,54,3377,76814,121996,http://ieehidalgo.org.mx/computos2018/ACD1_16.jpg
13,HIDALGO,16,TIZAYUCA,63,206,14389,2210,2105,1221,5216,37288,2634,9567,,74630,57,3824,78511,129104,http://ieehidalgo.org.mx/computos2018/ACD1_17.jpg
13,HIDALGO,17,VILLAS DEL ALAMO,87,210,,,2070,1391,,43325,,14587,19551,80924,85,3018,84027,127555,http://ieehidalgo.org.mx/computos2018/ACD1_18.jpg
13,HIDALGO,18,TEPEAPULCO,85,207,17609,2323,2122,1226,5442,38831,2725,7044,,77322,28,3785,81135,121640,http://ieehidalgo.org.mx/computos2018/ACD1_19.jpg
