ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PAN_PRD,PRI_PVEM_NA_ES,PRI_PVEM_NA,PRI_PVEM_ES,PRI_PVEM,PRI_NA,PRI_ES,PRI_NA_ES,PVEM_NA_ES,PVEM_NA,PVEM_ES,NA_ES,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
13,HIDALGO,1,ZIMAPAN,179,246,6740,15761,7468,1314,7689,711,1462,21773,755,363,40,152,17,233,47,7,8,2,11,1,6,64560,21,3827,68408,110255,http://ieehidalgo.org.mx/computos2018/ACD1_1.jpg
13,HIDALGO,2,ZACUALTIPAN DE ANGELES,169,250,2866,20568,3788,1858,3627,1108,8585,23747,5524,105,,,,,,,,,,,,71776,45,5924,77745,116634,http://ieehidalgo.org.mx/computos2018/ACD1_2.jpg
13,HIDALGO,3,SAN FELIPE ORIZATLAN,104,205,13509,18135,5225,663,1814,1016,2188,23118,3263,413,228,180,12,185,119,53,21,10,33,9,45,70239,46,5089,75374,103935,http://ieehidalgo.org.mx/computos2018/ACD1_3.jpg
13,HIDALGO,4,HUEJUTLA DE REYES,90,200,1730,14333,1157,647,1699,822,5825,27536,16612,66,,,,,,,,,,,,70427,60,5583,76070,111892,http://ieehidalgo.org.mx/computos2018/ACD1_4.jpg
13,HIDALGO,5,IXMIQUILPAN,131,231,4889,13569,1435,982,6179,1009,4038,40798,947,119,46,155,7,126,76,12,10,5,17,3,6,74428,54,3163,77645,115732,http://ieehidalgo.org.mx/computos2018/ACD1_5.jpg
13,HIDALGO,6,HUICHAPAN,113,223,16853,14536,1341,5502,3197,2084,2045,28558,1199,370,28,191,20,371,29,3,2,5,24,4,2,76364,25,3728,80117,126207,http://ieehidalgo.org.mx/computos2018/ACD1_6.jpg
13,HIDALGO,7,MIXQUIAHUALA DE JUAREZ,86,201,3001,13227,1732,4840,6435,1129,6609,39562,563,76,,,,,,,,,,,,77174,15,3172,80361,115907,http://ieehidalgo.org.mx/computos2018/ACD1_7.jpg
13,HIDALGO,8,ACTOPAN,115,216,5549,20851,2133,1479,1493,934,2585,36578,1760,118,,,,,,,,,,,,73480,30,3493,77003,118528,http://ieehidalgo.org.mx/computos2018/ACD1_8.jpg
13,HIDALGO,9,METEPEC,121,214,5703,13399,9432,1176,1176,869,8279,22229,892,501,,,,,,,,,,,,63656,81,4155,67892,105679,http://ieehidalgo.org.mx/computos2018/ACD1_9.jpg
13,HIDALGO,10,APAN,91,215,7545,15805,1338,2283,3755,1122,5056,32764,1685,194,,,,,,,,,,,,71547,56,4035,75638,124865,http://ieehidalgo.org.mx/computos2018/ACD1_11.jpg
13,HIDALGO,11,TULANCINGO DE BRAVO,54,196,7466,13290,835,1821,2458,2663,2871,35173,1688,109,,,,,,,,,,,,68374,61,3212,71647,123569,http://ieehidalgo.org.mx/computos2018/ACD1_12.jpg
13,HIDALGO,12,PACHUCA DE SOTO,96,193,11025,15253,941,1851,1897,2307,2353,35355,2002,182,,,,,,,,,,,,73166,56,3396,76618,111103,http://ieehidalgo.org.mx/computos2018/ACD1_13.jpg
13,HIDALGO,13,PACHUCA DE SOTO,33,178,9817,13757,1145,1541,1870,1565,2177,40040,1684,158,75,229,21,181,43,3,5,2,14,0,4,74331,58,2702,77091,115329,http://ieehidalgo.org.mx/computos2018/ACD1_14.jpg
13,HIDALGO,14,TULA DE ALLENDE,73,198,8804,13059,1523,1624,1910,1208,4366,41174,2286,125,,,,,,,,,,,,76079,53,3129,79261,118551,http://ieehidalgo.org.mx/computos2018/ACD1_15.jpg
13,HIDALGO,15,TEPEJI DEL RIO DE OCAMPO,68,198,6510,10517,3026,2657,3057,1353,5307,38905,1828,223,,,,,,,,,,,,73383,54,3377,76814,121996,http://ieehidalgo.org.mx/computos2018/ACD1_16.jpg
13,HIDALGO,16,TIZAYUCA,63,206,7882,14389,1589,2210,2105,1221,5216,37288,2634,96,,,,,,,,,,,,74630,57,3824,78511,129104,http://ieehidalgo.org.mx/computos2018/ACD1_17.jpg
13,HIDALGO,17,MINERAL DE LA REFORMA,87,210,13396,12116,982,1682,2070,1391,3514,43325,1702,209,44,232,13,141,75,7,8,5,5,2,5,80924,85,3018,84027,127555,http://ieehidalgo.org.mx/computos2018/ACD1_18.jpg
13,HIDALGO,18,TEPEAPULCO,85,207,5807,17609,1160,2323,2122,1226,5442,38831,2725,77,,,,,,,,,,,,77322,28,3785,81135,121640,http://ieehidalgo.org.mx/computos2018/ACD1_19.jpg
