ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,SECCIONES,CASILLAS,PT,MC,NVA_ALIANZA,MORENA,ES,PRD_PAN,PRI_PVEM_NVA_ALIANZA,COAL_PRI_PVEM,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
32,ZACATECAS,1,ZACATECAS,62,130,1357,1705,,13750,2152,5860,12357,,,,2729,,50,39910,1567,41527,71939,0.5780
32,ZACATECAS,2,ZACATECAS,79,133,1897,1062,1387,10261,1878,9493,,13731,1391,,,,48,41100,1550,42698,69765,0.5921
32,ZACATECAS,3,GUADALUPE,59,114,3264,1332,,8945,1718,4543,13454,,,1841,,,35,35097,1522,36654,62877,0.5840
32,ZACATECAS,4,GUADALUPE,55,115,2669,930,960,8243,1645,5031,,15570,,,,,58,35048,1363,36469,62107,0.5717
32,ZACATECAS,5,FRESNILLO,70,116,1349,852,713,9864,2056,3796,,13144,,,,1255,39,33029,1052,34120,59251,0.5638
32,ZACATECAS,6,FRESNILLO,80,124,2081,1169,964,10401,3252,5970,,12053,,,,,76,35890,1381,37347,64515,0.5639
32,ZACATECAS,7,FRESNILLO,128,159,1216,711,,6599,2137,9939,17419,,,,,,27,38021,1327,39375,65056,0.6062
32,ZACATECAS,8,OJOCALIENTE,74,118,8253,991,2697,3555,714,6822,,11917,,,,,15,34949,1814,36778,57519,0.5925
32,ZACATECAS,9,LORETO,63,109,7600,1998,815,8430,1226,4475,,9991,,,,,13,34535,1322,35870,55891,0.6272
32,ZACATECAS,10,JEREZ,139,161,1985,379,,7471,1014,12095,13021,,,,,,67,35965,1625,37657,64535,0.5846
32,ZACATECAS,11,VILLANUEVA,104,137,2324,840,,3524,1580,12738,16177,,,,,,14,37183,1328,38525,59822,0.6502
32,ZACATECAS,12,VILLA DE COS,143,176,4215,453,3417,6539,1168,8636,,19783,,,,,42,44211,1550,45803,64180,0.6604
32,ZACATECAS,13,JALPA,125,157,5634,1718,550,4376,1424,10669,,12989,,,,,17,37360,1551,38928,65830,0.5830
32,ZACATECAS,14,TLALTENANGO DE SANCHEZ ROMAN,153,181,1418,422,1253,5230,336,14109,,17439,,,,,34,40207,1681,41922,67770,0.6001
32,ZACATECAS,15,PINOS,118,143,1109,318,330,14528,394,5258,,19798,,,,,9,41735,1277,43021,61867,0.6900
32,ZACATECAS,16,RIO GRANDE,88,125,2681,652,737,3912,1139,13766,,11433,,,,,19,34320,1488,35827,60053,0.5843
32,ZACATECAS,17,SOMBRERETE,120,149,3609,167,,6632,760,11334,9808,,,,,,9,32310,1053,33372,58117,0.5765
32,ZACATECAS,18,JUAN ALDAMA,98,132,4362,328,548,11230,856,3996,,13351,,,,,17,34671,1364,36052,60008,0.5917
