CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,MORENA,ES,PRD_PAN,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,COAL_PRI_PVEM,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TEPJF,OBSERVACIONES,RUTA_ACTA
2,32,ZACATECAS,17,SOMBRERETE,9,CHALCHIHUITES,123,B,5,95,69,67,1,0,3,24,1,2,4,0,0,0,,,,,,0,271,14,285,440,ACTA CASILLA,,,
2,32,ZACATECAS,17,SOMBRERETE,9,CHALCHIHUITES,124,B,14,59,47,30,1,0,2,2,1,1,0,0,0,0,,,,,,0,157,5,162,240,GRUPO DE RECUENTO,,,
2,32,ZACATECAS,17,SOMBRERETE,9,CHALCHIHUITES,125,B,16,71,16,78,2,1,2,7,1,0,1,0,1,0,,,,,,0,196,6,202,318,GRUPO DE RECUENTO,,,
2,32,ZACATECAS,17,SOMBRERETE,9,CHALCHIHUITES,126,B,3,29,19,18,1,0,0,13,0,0,0,0,0,0,,,,,,0,83,2,85,137,ACTA CASILLA,,,
2,32,ZACATECAS,17,SOMBRERETE,9,CHALCHIHUITES,127,B,10,116,39,75,2,1,8,26,3,1,0,1,1,0,,,,,,1,283,10,294,545,GRUPO DE RECUENTO,,,
2,32,ZACATECAS,6,FRESNILLO,13,FRESNILLO,164,B,25,74,10,20,13,15,11,91,31,2,,,,,0,,,,,0,292,13,305,550,GRUPO DE RECUENTO,,,
2,32,ZACATECAS,6,FRESNILLO,13,FRESNILLO,165,B,33,80,14,32,10,14,3,106,28,2,,,,,3,,,,,0,325,10,335,597,GRUPO DE RECUENTO,,,
2,32,ZACATECAS,6,FRESNILLO,13,FRESNILLO,166,B,65,115,14,29,16,20,7,105,11,2,,,,,1,,,,,0,385,19,404,656,GRUPO DE RECUENTO,,,
2,32,ZACATECAS,6,FRESNILLO,13,FRESNILLO,167,B,29,94,15,24,16,11,7,139,37,1,,,,,2,,,,,0,375,21,396,644,ACTA CASILLA,,,
2,32,ZACATECAS,6,FRESNILLO,13,FRESNILLO,168,B,40,80,23,30,13,4,4,95,15,0,,,,,0,,,,,1,304,13,318,542,ACTA CASILLA,,,
