CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,MORENA,ES,PRD_PAN,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,COAL_PRI_PVEM,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
2,32,ZACATECAS,1,ZACATECAS,58,ZACATECAS,1791,3,47,314,82,50,22,30,11,420,52,4,2,3,1,1,,,,61,,3,1100,31,1134,2046
2,32,ZACATECAS,1,ZACATECAS,58,ZACATECAS,1792,2,24,142,26,22,12,18,15,195,35,2,0,2,0,0,,,,30,,0,523,15,538,1027
2,32,ZACATECAS,1,ZACATECAS,58,ZACATECAS,1793,2,35,148,16,17,19,20,6,126,21,1,1,0,0,0,,,,32,,0,442,20,462,813
2,32,ZACATECAS,1,ZACATECAS,58,ZACATECAS,1794,1,50,81,13,8,5,21,7,89,9,3,2,0,0,0,,,,22,,0,310,24,334,493
2,32,ZACATECAS,1,ZACATECAS,58,ZACATECAS,1796,1,25,56,9,6,3,14,8,64,5,0,0,0,0,0,,,,20,,0,210,7,217,346
2,32,ZACATECAS,1,ZACATECAS,58,ZACATECAS,1806,2,28,115,13,12,17,19,9,188,25,2,0,4,0,1,,,,25,,0,458,25,483,771
2,32,ZACATECAS,1,ZACATECAS,58,ZACATECAS,1815,2,30,48,8,7,5,9,6,61,11,4,2,0,0,0,,,,49,,1,240,26,267,383
2,32,ZACATECAS,1,ZACATECAS,58,ZACATECAS,1816,1,24,48,8,2,11,13,2,65,6,1,1,0,0,0,,,,20,,0,201,14,215,311
2,32,ZACATECAS,1,ZACATECAS,58,ZACATECAS,1817,1,35,65,9,9,20,20,3,111,15,2,0,1,0,0,,,,14,,3,304,11,318,518
2,32,ZACATECAS,1,ZACATECAS,58,ZACATECAS,1818,2,110,187,32,22,20,19,8,156,16,4,3,2,2,0,,,,46,,0,627,39,666,920
