ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,MORENA,ES,PRD_PAN,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,COAL_PRI_PVEM,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
32,ZACATECAS,1,APOZOL,11,12,991,869,138,24,56,68,401,460,20,28,,,,,3,,,,,2,3060,175,3235,5408,0.5982
32,ZACATECAS,2,APULCO,8,9,253,893,43,708,60,256,21,352,65,9,,,,,17,,,,,0,2677,110,2787,4278,0.6515
32,ZACATECAS,3,ATOLINGA,8,8,218,777,81,181,33,4,141,43,9,20,,,,,9,,,,,0,1516,105,1621,2455,0.6603
32,ZACATECAS,4,BENITO JUAREZ,9,9,1121,993,36,20,24,5,6,135,3,12,,,,,6,,,,,0,2361,59,2420,3452,0.701
32,ZACATECAS,5,CALERA,21,48,2842,4573,1002,876,289,140,349,2558,1010,292,,,,,37,432,,,,14,14414,532,14946,27063,0.5523
32,ZACATECAS,6,CAÑITAS DE FELIPE PESCADOR,10,13,1363,835,122,97,643,101,282,466,207,38,,,,,55,,,,,1,4210,152,4362,6021,0.7245
32,ZACATECAS,7,CONCEPCION DEL ORO,22,25,129,2686,447,150,94,119,60,2469,36,15,,,,,6,,,,,6,6217,164,6381,9330,0.6839
32,ZACATECAS,8,CUAUHTEMOC,11,18,217,1981,1399,971,514,38,71,470,314,57,5,44,7,1,,,,,,0,6089,224,6313,8644,0.7303
32,ZACATECAS,9,CHALCHIHUITES,21,25,364,2251,573,1118,48,26,117,521,64,16,20,5,7,0,,,,,,1,5131,137,5268,8408,0.6265
32,ZACATECAS,10,EL PLATEADO DE JOAQUIN AMARO,5,5,45,509,525,3,41,1,1,23,0,18,,,,,11,,,,,0,1177,17,1194,1656,0.721
32,ZACATECAS,11,EL SALVADOR,6,6,10,171,430,5,909,0,5,119,26,14,,,,,10,,,,,0,1699,31,1730,2159,0.8013
32,ZACATECAS,12,GENERAL ENRIQUE ESTRADA,7,11,612,848,214,37,134,14,59,291,759,87,,,,,15,,,,,2,3072,131,3203,4638,0.6906
32,ZACATECAS,13,FRESNILLO,204,313,6790,29904,4853,4473,2619,2633,2032,25422,6351,594,40,89,2,11,361,,,,1255,137,87566,3116,90682,157447,0.576
32,ZACATECAS,14,TRINIDAD GARCIA DE LA CADENA,7,8,465,702,52,67,15,6,7,280,6,25,,,,,8,,,,,0,1633,49,1682,2781,0.6048
