CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NA,MORENA,ES,C_COMUN_PAN_PRD,C_COMUN_PAN_MC,C_COMUN_PRD_PVEM,C_COMUN_PRD_MC,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PT_MORENA,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,CAND_IND17,CAND_IND18,CAND_IND19,CAND_IND20,CAND_IND21,CAND_IND22,CAND_IND23,CAND_IND24,CAND_IND25,CAND_IND26,CAND_IND27,CAND_IND28,CAND_IND29,CAND_IND30,CAND_IND31,CAND_IND32,CAND_IND33,CAND_IND34,CAND_IND35,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
5,16,MICHOACAN,21,COALCOMÁN,12,BUENAVISTA,209,4,19,83,88,90,16,9,7,871,,,,,,0,1,0,1,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1237,0,38,1275,2283
5,16,MICHOACAN,21,COALCOMÁN,12,BUENAVISTA,210,1,13,20,157,13,4,4,0,128,,,,,,4,3,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,351,0,14,365,591
5,16,MICHOACAN,21,COALCOMÁN,12,BUENAVISTA,211,2,8,34,40,12,41,9,0,240,,,,,,0,1,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,389,0,9,398,846
5,16,MICHOACAN,21,COALCOMÁN,12,BUENAVISTA,212,1,3,43,114,14,7,4,2,92,,,,,,0,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282,0,9,291,414
5,16,MICHOACAN,18,HUETAMO,13,CARÁCUARO,213,4,405,464,965,14,13,4,,17,,,8,5,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1896,0,118,2014,2849
5,16,MICHOACAN,18,HUETAMO,13,CARÁCUARO,214,1,89,74,149,1,6,3,,2,,,0,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,0,32,356,500
5,16,MICHOACAN,18,HUETAMO,13,CARÁCUARO,215,1,20,32,80,0,1,0,,0,,,0,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133,0,12,145,188
5,16,MICHOACAN,18,HUETAMO,13,CARÁCUARO,216,1,52,22,52,1,2,0,,1,,,1,2,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133,0,5,138,166
5,16,MICHOACAN,18,HUETAMO,13,CARÁCUARO,217,1,37,143,285,4,2,0,,3,,,1,2,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,477,3,43,523,735
5,16,MICHOACAN,18,HUETAMO,13,CARÁCUARO,218,1,36,40,38,0,0,0,,0,,,3,2,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119,0,7,126,162
