CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,PAS,MORENA,ES,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,C_COMUN_ PRI_PVEM,C_COMUN_MC_PAS,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,CAND_IND17,CAND_IND18,CAND_IND19,CAND_IND20,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1726,2,396,217,22,0,1,5,12,16,0,0,,,,,,1,,,,,,,,,,,,,,,,,,,,0,670,10,680,1131
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1727,2,266,227,17,1,2,12,16,20,2,2,,,,,,0,,,,,,,,,,,,,,,,,,,,1,565,17,583,872
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1728,1,168,107,31,0,0,4,7,10,0,0,,,,,,0,,,,,,,,,,,,,,,,,,,,0,327,8,335,533
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1729,2,364,343,16,0,2,4,33,40,8,5,,,,,,0,,,,,,,,,,,,,,,,,,,,1,815,19,835,730
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1730,1,257,156,7,0,0,5,4,12,4,0,,,,,,0,,,,,,,,,,,,,,,,,,,,0,445,1,446,640
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1731,1,131,106,5,1,0,0,6,9,0,0,,,,,,0,,,,,,,,,,,,,,,,,,,,0,258,4,262,349
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1732,1,66,35,2,0,0,0,0,3,0,0,,,,,,0,,,,,,,,,,,,,,,,,,,,0,106,1,107,140
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1733,2,513,358,21,1,2,5,13,16,3,0,,,,,,0,,,,,,,,,,,,,,,,,,,,0,932,15,947,1350
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1734,1,108,140,7,1,0,1,11,13,0,0,,,,,,0,,,,,,,,,,,,,,,,,,,,0,281,4,285,470
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1735,2,379,306,10,0,1,1,16,15,0,2,,,,,,0,,,,,,,,,,,,,,,,,,,,0,730,22,752,1076
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1736,1,52,19,1,0,0,0,0,1,1,0,,,,,,0,,,,,,,,,,,,,,,,,,,,0,74,2,76,103
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1740,1,96,32,3,0,0,4,1,0,0,0,,,,,,0,,,,,,,,,,,,,,,,,,,,0,136,2,138,197
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1741,1,81,49,0,1,0,0,1,1,0,0,,,,,,0,,,,,,,,,,,,,,,,,,,,0,133,0,133,170
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1742,1,66,65,10,0,1,1,0,0,0,0,,,,,,0,,,,,,,,,,,,,,,,,,,,0,143,4,147,196
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1743,1,108,79,10,1,0,0,3,0,0,0,,,,,,0,,,,,,,,,,,,,,,,,,,,0,201,10,211,345
1,25,SINALOA,1,EL FUERTE,7,CHOIX,1744,1,89,71,4,2,1,0,2,0,0,0,,,,,,0,,,,,,,,,,,,,,,,,,,,0,169,6,175,274
