id_entidad_electoral,fecha_jornada,id_cargo,nombre_cargo,id_estado,id_distrito,seccion,id_casilla,tipo_casilla,descripcion,ext_contigua,cabecera,clave_circunscripcion,id_municipio,nombre_municipio,lista_nominal,estatus_casilla,descripcion,resultados_obtenidos,tipo_urna,descripcion,PAN,PRI,PRD,PT,PVEM,Convergencia,PANAL,PRI-PANAL,NoRegistrados,Nulos,TOTAL
27,18/10/2009,11,Regidores,27,5,485,2,C,Contigua,0,CENTRO SUR,,4,CENTRO,1839,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,3,157,112,0,6,3,2,0,0,10,293
27,18/10/2009,11,Regidores,27,5,503,1,B,Basica,0,CENTRO SUR,,4,CENTRO,3123,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,5,151,90,3,3,2,0,0,0,10,264
27,18/10/2009,11,Regidores,27,5,507,1,B,Basica,0,CENTRO SUR,,4,CENTRO,1027,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,7,169,58,1,3,5,2,0,0,9,254
27,18/10/2009,11,Regidores,27,5,508,2,C,Contigua,0,CENTRO SUR,,4,CENTRO,1582,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,12,156,124,3,5,8,1,0,0,11,320
27,18/10/2009,11,Regidores,27,6,564,1,C,Contigua,0,COMALCALCO,,5,COMALCALCO,989,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,1,144,184,0,1,0,5,0,1,1,337
27,18/10/2009,11,Regidores,27,6,565,1,C,Contigua,0,COMALCALCO,,5,COMALCALCO,1464,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,1,245,236,0,4,0,7,0,0,8,501
27,18/10/2009,11,Regidores,27,6,513,1,B,Basica,0,COMALCALCO,,5,COMALCALCO,2691,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,3,190,216,0,1,1,4,1,0,4,420
27,18/10/2009,11,Regidores,27,6,524,1,B,Basica,0,COMALCALCO,,5,COMALCALCO,693,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,10,230,198,0,0,0,10,0,0,0,448
27,18/10/2009,11,Regidores,27,6,525,1,C,Contigua,0,COMALCALCO,,5,COMALCALCO,1353,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,4,244,172,0,1,0,8,0,0,5,434
27,18/10/2009,11,Regidores,27,6,528,2,C,Contigua,0,COMALCALCO,,5,COMALCALCO,2487,RC,Recuento llevado a cabo en la sede de los Consejos respectivos,P,T,Urna tradicional,2,182,173,1,3,0,6,0,0,10,377
